name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Michael Bunting,4500000.0,9,25.19,29.0,4611163.852595961,111163.85259596072
Ilya Lyubushkin,3250000.0,14,2.33,30.0,3825171.042127021,575171.0421270211
Carson Soucy,3250000.0,10,3.13,30.0,2934150.5162082906,-315849.4837917094
Ivan Barbashev,5000000.0,51,18.33,29.0,4498970.439022298,-501029.560977702
Egor Zamula,1700000.0,15,1.52,24.0,2273677.5981534724,573677.5981534724
Leo Carlsson,950000.0,45,17.18,20.0,1026611.293968254,76611.293968254
Brett Howden,2500000.0,40,19.84,26.0,3903759.9818236143,1403759.9818236143
Adam Henrique,3000000.0,27,12.78,34.0,3724441.7085164725,724441.7085164725
Steven Lorentz,1350000.0,19,8.42,28.0,1853211.6529540992,503211.65295409923
Zack MacEwen,775000.0,3,1.91,28.0,830929.5227975175,55929.52279751748
Cam Atkinson,900000.0,9,3.93,35.0,1831962.5023229509,931962.5023229509
Ryan Poehling,1900000.0,31,9.86,26.0,3609503.755705391,1709503.755705391
Ian Cole,2800000.0,17,5.22,35.0,3498698.4644115297,698698.4644115297
Barclay Goodrow,3641667.0,8,8.9,31.0,2686890.008781142,-954776.9912188579
Adam Pelech,5750000.0,21,5.15,30.0,4655224.951970866,-1094775.048029134
Albert Johansson,1125000.0,9,1.82,24.0,1542418.9215187002,417418.9215187002
Jake McCabe,4491898.0,23,2.98,31.0,4370968.253948473,-120929.74605152663
Mathieu Olivier,3000000.0,32,13.35,27.0,3805681.537110278,805681.5371102779
Danton Heinen,2250000.0,18,11.1,29.0,2137621.87444703,-112378.12555296998
Erik Gudbranson,4000000.0,4,0.32,33.0,2319642.2265555756,-1680357.7734444244
Mason Marchment,4500000.0,47,19.18,29.0,4689568.356684404,189568.35668440443
Sean Durzi,6000000.0,11,3.41,26.0,4343604.510370956,-1656395.4896290442
Zach Werenski,9583333.0,82,19.45,27.0,9065414.687517565,-517918.31248243526
Anthony Duclair,3500000.0,11,6.61,29.0,2497961.311109753,-1002038.6888902471
Scott Laughton,3000000.0,27,17.85,30.0,3968912.314505709,968912.3145057089
Christian Dvorak,5400000.0,33,15.97,28.0,4612868.512237637,-787131.4877623627
Nick Foligno,4500000.0,35,16.26,37.0,3684093.234205259,-815906.765794741
Owen Power,8350000.0,40,7.71,22.0,6606625.272258826,-1743374.7277411744
Dylan Holloway,2290457.0,63,20.34,23.0,3628461.626056278,1338004.6260562781
Roman Josi,9059000.0,38,13.44,34.0,8030980.63026989,-1028019.3697301103
Gage Goncalves,1200000.0,20,7.77,24.0,1600432.9442137887,400432.9442137887
Luke Hughes,1850000.0,44,7.92,21.0,1740576.9823940056,-109423.01760599436
Tyler Tucker,925000.0,7,1.15,24.0,898746.5618594511,-26253.438140548882
Connor Brown,3000000.0,30,15.01,31.0,3943579.850233721,943579.8502337211
Michael Kesselring,1400000.0,29,6.8,25.0,1953113.123616575,553113.123616575
Frank Vatrano,4571189.0,45,28.9,30.0,4997142.010397263,425953.0103972629
Jakub Vrana,775000.0,3,4.99,28.0,1165129.9437934083,390129.94379340834
Brock Faber,8500000.0,29,6.39,22.0,6550540.17771746,-1949459.8222825397
Kirill Kaprizov,9000000.0,56,20.38,27.0,7476496.619196516,-1523503.3808034835
Drew Helleson,1100000.0,13,2.37,23.0,1828958.7166631,728958.7166631001
Sean Couturier,7750000.0,45,20.57,32.0,6153174.511382485,-1596825.4886175152
Anze Kopitar,7000000.0,67,15.44,37.0,6800551.633628596,-199448.36637140438
Jamie Drysdale,2300000.0,20,3.58,22.0,2921447.064374445,621447.064374445
Shayne Gostisbehere,3200000.0,45,9.39,31.0,3944087.1335256905,744087.1335256905
Simon Nemec,918333.0,4,1.25,20.0,2016455.9493767829,1098122.9493767829
Jackson LaCombe,925000.0,43,10.27,24.0,3876211.300352907,2951211.300352907
Simon Holmstrom,3625000.0,45,14.72,23.0,3855280.871885896,230280.8718858962
Aatu Raty,775000.0,11,3.7,22.0,1149197.8928869949,374197.8928869949
Mikael Granlund,7000000.0,21,18.6,32.0,5647236.621720562,-1352763.3782794382
Ryan Reaves,1350000.0,2,1.51,38.0,1533638.5955982376,183638.5955982376
Brendan Gallagher,6500000.0,38,24.94,32.0,5549358.781193891,-950641.2188061094
Nikolai Kovalenko,925000.0,8,6.22,25.0,1074674.3890974047,149674.38909740467
Samuel Girard,5000000.0,24,3.88,26.0,4929698.377363186,-70301.62263681367
Kevin Labanc,775000.0,12,2.54,29.0,1507916.5472517929,732916.5472517929
Owen Tippett,6200000.0,43,15.91,25.0,3347385.711561982,-2852614.288438018
Vladislav Kolyachonok,775000.0,5,1.14,23.0,844799.3379462714,69799.33794627141
Simon Edvinsson,894167.0,31,5.89,21.0,3719359.985366342,2825192.985366342
Leon Draisaitl,14000000.0,106,31.42,29.0,12192909.857503602,-1807090.1424963977
Alex Pietrangelo,8800000.0,33,7.33,35.0,7667719.580870695,-1132280.4191293046
Victor Olofsson,1575000.0,29,11.78,29.0,3281127.9486401584,1706127.9486401584
Brayden Schenn,6500000.0,50,22.33,33.0,5006437.484877241,-1493562.5151227592
Marc-Edouard Vlasic,7000000.0,3,0.69,37.0,4470695.351404738,-2529304.6485952623
Joe Veleno,900000.0,7,8.24,25.0,1195100.2680796287,295100.2680796287
Bokondji Imama,775000.0,1,0.35,28.0,951323.9721406713,176323.97214067134
J.J. Moser,3375000.0,14,2.61,24.0,2303121.5500365794,-1071878.4499634206
Trevor Zegras,5750000.0,32,11.63,23.0,2760906.0317125283,-2989093.9682874717
Kris Letang,6100000.0,30,9.1,37.0,5936043.562520935,-163956.4374790648
Luke Evangelista,925000.0,32,13.98,22.0,2047409.2673810539,1122409.2673810539
Ivan Ivan,845000.0,8,5.48,22.0,996206.1708308234,151206.17083082336
Anthony Cirelli,6250000.0,59,28.34,27.0,7000008.460259684,750008.4602596844
Cole Schwindt,825000.0,8,4.67,23.0,995874.5926991455,170874.59269914555
Evgenii Dadonov,1000000.0,40,18.84,35.0,3109974.6798902093,2109974.6798902093
Matias Maccelli,3425000.0,18,8.77,24.0,2972330.107962324,-452669.8920376762
